itemName,itemEffect,itemSource,location,act
Everburn Blade,Deal additional 1d4 Fire damage with this weapon,Commander Zhalk at the helm of the ship,Nautiloid X: -53 Y: 390,1
Ring of Evasion,"When you fail a Dexterity save, you can use your Reaction to succeed it instead",Rewarded by Tara to Gale (Origin) at camp during the first long rest after completing the Prologue,Campsite,1
The Watcher's Guide,"On a miss with this spear, gain True Strike for the next attack roll",Inside the sarcophagus surrounded by statues and traps,Dank Crypt X: -293 Y: -325,1
The Amulet of Lost Voices,Cast Speak with Dead ( Recharge: Long rest),Heavy chest in the secret room behind the statue of Jergal,Dank Crypt X: -293 Y: -233,1
Gloves of Power,"If you have the Brand of the Absolute, on a hit with your melee or ranged weapon the target must succeed DC 11 Charisma save or get Baned for 2 turns (equivalent to casting Bane on the target) Sleight of Hand +1",Za'Krug near the Emerald Grove gate,X: 208 Y: 427,1
Hellrider's Pride,"When healing an ally or yourself, grant or receive Blade Ward for 2 turns Strength saving throws +1","Looted, bought, stolen from Zevlor, or rewarded by him for Kill Kagha or Investigate Kagha","Emerald Grove X: 208 Y: 482 Secluded Chamber X: -53 Y: 67",1
Wapira's Crown,"When healing others, regain 1d6 hit points yourself",Rewarded by Zevlor at his command quarters for Save the Refugees,Secluded Chamber X: -53 Y: 67,1
Gloves of Missile Snaring,Expend Reaction to reduce damage of 1 incoming projectile by 1d10 + Dexterity modifier,Bought or stolen from Arron next to the Silvanus statue in The Hollow,X: 204 Y: 513,1
Dragon's Grasp,Deal additional 1d4 Slashing damage with this weapon to Burning targets,Bought or stolen from Arron next to the Silvanus statue in The Hollow,X: 204 Y: 513,1
Ring of Flinging,Deal additional 1d4 damage with Throw attacks,Bought or stolen from Arron next to the Silvanus statue in The Hollow,X: 204 Y: 513,1
Hedge Wanderer Armour,"+1 bonus to Dexterity saving throws and ability checks Nature +1",Bought or stolen from Arron next to the Silvanus statue in The Hollow,X: 204 Y: 513,1
Rain Dancer,Cast Create Water ( Recharge: Short rest),Bought or stolen from Arron next to the Silvanus statue in The Hollow,X: 204 Y: 513,1
Spellthief,"On a critical hit with this longbow, regain one level 1 spell slot ( Recharge: Short rest)",Bought or stolen from Arron next to the Silvanus statue in The Hollow,X: 204 Y: 513,1
Corellon's Grace,"+1 bonus to unarmed[1] attack rolls and damage, +2 bonus to saving throws when not wearing armour",Bought or stolen from Auntie Ethel in the lower part of The Hollow,X: 192 Y: 546,1
Safeguard Shield,Saving throws +1,Bought or stolen from Dammon at the forge in The Hollow,X: 180 Y: 561,1
Hunting Shortbow,"Advantage on attack rolls with this weapon against Monstrosities Cast Hunter's Mark ( Recharge: Long rest)",Bought or stolen from Dammon at the forge in The Hollow,X: 180 Y: 561,1
Shapeshifter's Boon Ring,"While shapeshifting or disguising yourself, gain a 1d4 bonus to all ability checks. This effect lasts until long rest and doesn't require the ring to be equipped once enabled","Strange Ox[2] in the stables next to the training ground in The Hollow. If you spare it here, you can get more loot during later encounters with the ox",X: 217 Y: 540,1
Ring of Protection,"Armour Class +1 Saving throws +1",Rewarded by Mol for Steal the Sacred Idol at her hideout,Tiefling Hideout X: 80 Y: 70,1
Key of the Ancients,"Nature +1 Zone significance: This circlet is the key to open the Enclave Library if coming from the Underground Passage, or if Nettie is not available",Looted or stolen from Findal in Underground Passage or Nettie in Druids' Chambers,"Underground Passage X: -440 Y: -182 Druids' Chambers X: -440 Y: -6",1
Nature's Snare,"On a melee hit with this staff, a non-plant and non-beast must succeed DC 12 Strength save or get Ensnared for 2 turns",Locked heavy chest near Rune of the Eagle,Underground Passage X: -425 Y: -200,1
