itemName,itemEffect,itemSource,location,act
Thermoarcanic Gloves,"When you deal Fire damage, once per attack, gain Heat for 2 turns",Kansif in the cultist camp or near the Harper ambush[1],"X: 98 Y: -57 X: 0 Y: -15",2
Frost Prince,Cast Ice Knife (level 1) ( Recharge: Long rest),"Gilded chest near the Shadow-Cursed Needle Blight ambush, south of the cultist camp",X: 80 Y: -96,2
Cruel Sting,"If drow[2], deal additional 1d4 Poison damage with this weapon against Restrained targets Gain an action that Enwebbs the target for 10 turns if they fail their Strength save against your spell save DC ( Recharge: Short rest)",Kar'niss[3] at the ruined ambush building,X: 0 Y: -15,2
Moonlantern,"Immunity to the Shadow Curse in a 13 m / 44 ft radius around you while you have this lantern in hand If you free the inhabitant of the lantern, you get the same aura but from an item that doesn't take up a weapon slot",Kar'niss[3] at the ruined ambush building,X: 0 Y: -15,2
Hammergrim Mist Amulet,Cast Fog Cloud (level 1) ( Recharge: Long rest),Locked wooden chest on a wooden ledge inside the ruined ambush building,X: -10 Y: -4,2
Luminous Gloves,"When you deal Radiant damage, inflict 1 turn of Radiating Orb upon the target(s) Strength saving throws +1",Locked potter's chest on a wooden ledge inside the ruined pottery near the river,X: -53 Y: 9,2
Shadow-Cloaked Ring,Deal additional 1d4 damage with your weapon or unarmed strikes against obscured targets or creatures made of shadow,Shadow Mastiff Alpha in a cursed camp north of the ruined pottery[4],X: -51 Y: 36,2
Ring of Twilight,"While being obscured, gain a +1 bonus to AC",Locked traveller's chest tucked away behind pots in the ruined tower south of the ruined pottery,X: -34 Y: -12,2
Gloomstrand Shield,Stealth +1,Traveller's chest next to the warped bridge at the south-most part of the map,X: -55 Y: -113,2
Ring of Shadows,Cast Pass Without Trace ( Recharge: Long rest),Rewarded by Oliver for winning both rounds of his game at the House in Deep Shadows,X: 76 Y: 37,2
Ring of Mental Inhibition,"On a failed saving throw against your spell or action, the target suffers Mental Fatigue for 2 turns",Locked wooden chest in the middle of the House in Deep Shadows,X: 72 Y: 40,2
Ironwood Club,Deal additional 1d4 Bludgeoning damage with this weapon while it is being imbued with Shillelagh,Shadow-Cursed Shambling Mound ambush north of the Shadowed Battlefield waypoint,X: 44 Y: 59,2
Ring of Self Immolation,Gain an action to gain Heat for 2 turns ( Recharge: Short rest),Locked wooden chest atop the ruined tower near the Shadow-Cursed Shambling Mound ambush,X: 27 Y: 63,2
Raven Gloves,Cast Summon Quothe the Raven ( Recharge: Short rest),Rewarded by He Who Was for Punish the Wicked,X: 128 Y: 110,2
Family Ring,Death saving throws +2,In a burrow[5] behind and below the camp north-west of the He Who Was campsite,X: 110 Y: 130,2
Penumbral Armour,"While being obscured, gain a +3 bonus to Stealth ability checks",Locked opulent chest in a cursed house across the river north-east of the Last Light Inn waypoint,X: 32 Y: 144,2
Shield of Devotion,"Gain one additional level 1 spell slot while having this shield equipped Gain an action to expend your Reaction and bash with this shield when hit by an enemy, knocking them Prone for 1 turn if they fail their Dexterity save against your spell save DC Cast Shield of Devotion: Aid ( Recharge: Long rest)",Bough or stolen from Quartermaster Talli near the Last Light Inn waypoint,X: -27 Y: 132,2
Incandescent Staff,"Spell attack rolls +1 Resistance to Fire damage Cast Fire Bolt ( Recharge: Per turn) Cast Fireball (level 3) ( Recharge: Long rest)",Bough or stolen from Quartermaster Talli near the Last Light Inn waypoint,X: -27 Y: 132,2
Amulet of the Harpers,"Advantage on Wisdom saving throws Cast Shield ( Recharge: Long rest)",Bough or stolen from Quartermaster Talli near the Last Light Inn waypoint,X: -27 Y: 132,2
Cindersnap Gloves,"Gain a concentration action to make ranged weapon attacks against you suffer disadvantage and halved Physical damage, for 10 turns ( Recharge: Short rest)",Bough or stolen from Quartermaster Talli near the Last Light Inn waypoint,X: -27 Y: 132,2
